task,model_name,group_field,group_value,n,accuracy,f1,precision,recall,false_positive_rate,false_negative_rate,leakage_rate,false_block_rate
sensitivity,capid,financial_subtype,*,2,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,capid,financial_subtype,card_payment,1,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,capid,language,zh_en,3,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,capid,format,chat_transcript,1,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,capid,format,csv_row,1,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,capid,format,natural_sentence,1,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,capid,style,ocr_fragment,1,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,capid,style,sg_cn_codeswitch,2,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,capid,original_label,benign,1,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,capid,original_label,financial_private,1,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,capid,original_label,non_private_financial,1,1.0,0.0,0.0,0.0,0.0,0.0,,
coarse_policy_alignment,capid,financial_subtype,investment,1,1.0,0.5,,,,,,0.0
coarse_policy_alignment,capid,financial_subtype,salary_income,1,1.0,0.5,1.0,1.0,,,0.0,
coarse_policy_alignment,capid,financial_subtype,transaction,1,1.0,0.5,,,,,,0.0
coarse_policy_alignment,capid,carrier_id,calendar_invite,1,1.0,0.5,1.0,1.0,,,0.0,
coarse_policy_alignment,capid,carrier_id,send_tax_note,1,1.0,0.5,,,,,,0.0
coarse_policy_alignment,capid,carrier_id,send_transaction_dispute,1,1.0,0.5,,,,,,0.0
coarse_policy_alignment,capid,language,zh_en,3,1.0,1.0,1.0,1.0,,,0.0,0.0
coarse_policy_alignment,capid,payload_format,chat_transcript,1,1.0,0.5,1.0,1.0,,,0.0,
coarse_policy_alignment,capid,payload_format,email_snippet,1,1.0,0.5,,,,,,0.0
coarse_policy_alignment,capid,payload_format,natural_sentence,1,1.0,0.5,,,,,,0.0
coarse_policy_alignment,capid,expected_financial,False,1,1.0,0.5,1.0,1.0,,,0.0,
coarse_policy_alignment,capid,expected_financial,True,2,1.0,0.5,,,,,,0.0
fine_grained_semantic_alignment,capid,financial_subtype,salary_income,1,1.0,0.5,1.0,1.0,,,0.0,
fine_grained_semantic_alignment,capid,financial_subtype,transaction,1,1.0,0.5,,,,,,0.0
fine_grained_semantic_alignment,capid,carrier_id,calendar_invite,1,1.0,0.5,1.0,1.0,,,0.0,
fine_grained_semantic_alignment,capid,carrier_id,send_transaction_dispute,1,1.0,0.5,,,,,,0.0
fine_grained_semantic_alignment,capid,language,zh_en,2,1.0,1.0,1.0,1.0,,,0.0,0.0
fine_grained_semantic_alignment,capid,payload_format,chat_transcript,1,1.0,0.5,1.0,1.0,,,0.0,
fine_grained_semantic_alignment,capid,payload_format,email_snippet,1,1.0,0.5,,,,,,0.0
fine_grained_semantic_alignment,capid,expected_financial,False,1,1.0,0.5,1.0,1.0,,,0.0,
fine_grained_semantic_alignment,capid,expected_financial,True,1,1.0,0.5,,,,,,0.0
