task,model_name,group_field,group_value,n,accuracy,f1,precision,recall,false_positive_rate,false_negative_rate,leakage_rate,false_block_rate
sensitivity,llm_judge,financial_subtype,*,2,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,llm_judge,language,zh_en,2,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,llm_judge,format,chat_transcript,1,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,llm_judge,format,natural_sentence,1,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,llm_judge,style,ocr_fragment,1,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,llm_judge,style,sg_cn_codeswitch,1,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,llm_judge,original_label,benign,1,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,llm_judge,original_label,non_private_financial,1,1.0,0.0,0.0,0.0,0.0,0.0,,
coarse_policy_alignment,llm_judge,financial_subtype,investment,1,0.0,0.0,0.0,,,,,1.0
coarse_policy_alignment,llm_judge,financial_subtype,transaction,1,1.0,0.5,,,,,,0.0
coarse_policy_alignment,llm_judge,carrier_id,send_tax_note,1,0.0,0.0,0.0,,,,,1.0
coarse_policy_alignment,llm_judge,carrier_id,send_transaction_dispute,1,1.0,0.5,,,,,,0.0
coarse_policy_alignment,llm_judge,language,zh_en,2,0.5,0.3333333333333333,0.0,,,,,0.5
coarse_policy_alignment,llm_judge,payload_format,email_snippet,1,1.0,0.5,,,,,,0.0
coarse_policy_alignment,llm_judge,payload_format,natural_sentence,1,0.0,0.0,0.0,,,,,1.0
coarse_policy_alignment,llm_judge,expected_financial,True,2,0.5,0.3333333333333333,0.0,,,,,0.5
fine_grained_semantic_alignment,llm_judge,financial_subtype,transaction,1,1.0,0.5,,,,,,0.0
fine_grained_semantic_alignment,llm_judge,carrier_id,send_transaction_dispute,1,1.0,0.5,,,,,,0.0
fine_grained_semantic_alignment,llm_judge,language,zh_en,1,1.0,0.5,,,,,,0.0
fine_grained_semantic_alignment,llm_judge,payload_format,email_snippet,1,1.0,0.5,,,,,,0.0
fine_grained_semantic_alignment,llm_judge,expected_financial,True,1,1.0,0.5,,,,,,0.0
